Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100070856495 - 65a Albert St, Guildford West, Nsw 2161",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000180895782 - 37a Manchester Rd, Gymea, Nsw 2227",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100063356798 - 1/441 Barrenjoey Rd, Newport, Nsw 2106",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000046033556 - 18 St Andrews Dr, Glenmore Park, Nsw 2745",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000112607922 - 30 Bonds Rd, Riverwood, Nsw 2210",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100074338045 - 63a Penshurst Rd, Narwee, Nsw 2209",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100067479101 - 1/25 Kuranda Av, Padstow, Nsw 2211",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100067479345 - 1/16 Truro Pde, Padstow, Nsw 2211",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100067479206 - 1/36 Parmal Av, Padstow, Nsw 2211",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000078225654 - 1/6 Tony Cr, Padstow, Nsw 2211",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100071606804 - 7/28-32 Selems Pde, Revesby, Nsw 2212",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000066315033 - 1/14 Marco Av, Revesby, Nsw 2212",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100071572193 - 1/36 Anderson Av, Panania, Nsw 2213",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100072674960 - 1/97 Hydrae St, Revesby, Nsw 2212",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC100072701988 - 1/5 Rowland St, Revesby, Nsw 2212",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000185098425 - 24a Dunmore St N, Bexley, Nsw 2207",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000180875675 - 1225/1 Steam Mill Lane, Haymarket, Nsw 2000",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000183584951 - 169-179 Thomas St, Haymarket, Nsw 2000",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000003012992 - 3/76 Ultimo Rd, Haymarket, Nsw 2000",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000004766849 - 10 Grafton St, Chippendale, Nsw 2008",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000183840006 - 79-83 Myrtle St, Chippendale, Nsw 2008",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000183835747 - 79 Myrtle St, Chippendale, Nsw 2008",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000119093856 - 202 Broadway , Chippendale, Nsw 2008",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
Datateks - MWA,Datateks - MWA Rate Card,L0401 - Validations 5,"LOC000183834043 - Lift/156 Broadway , Chippendale, Nsw 2008",TB-01-03-06 - Hourly fee for Labour not contained within the activity scope,0
