Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date
AYCA-4PPBEB,2RYD-63,Opal Fernleigh - 1,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,West Ryde,8 Sherbrooke Rd,2114,178592,B + E,3/4/20
AYCA-3W384B,2HOR-62,"433-437 Pacific Highway, Asquith - 1",Active,Supply Order Raised,38,FTTP – Type 2,NSW,Asquith,433-437 Pacific Hwy,2077,153443,B + E,2/7/20
AYCA-4Z6R8L,2DAL-28,GALILEO PHILLIP STREET JV - 1,Active,Supply Order Raised,120,FTTP – Type 2,NSW,Sydney,148-160 King Street,2000,183239,B + E,1/31/20
AYCA-5CQHIP,2PTH-02,"24 Barber Ave, Penrith - 1",Active,Supply Order Raised,17,FTTP – Type 2,NSW,Penrith,24 Barber Ave,2750,183570,B + E,11/19/19
AYCA-Y8UNL,2BUR-03,Burwood Grand - 1,Active,Supply Order Raised,535,FTTP – Type 2,NSW,Burwood,Belmore Street,2134,189068,B + E,9/14/19
AYCA-54WJL3,2PTH-09,111 Andrews Road - 1,Active,Supply Order Raised,19,FTTP – Type 3 (MT-LFN),NSW,Cranebrook,111 Andrews Rd,2749,180973,B + E,9/6/19
AYCA-4WGB20,2STL-60,64-66 Chandos St - 1,Active,Supply Order Raised,35,FTTP – Type 2,NSW,St Leonards,64-66 Chandos St,2065,186258,B + E,7/31/19
AYCA-54OULE,2MIL-62,HILL ROAD LURNEA - 1,Active,Supply Order Raised,27,FTTP – Type 2,NSW,Lurnea,71 Hill Rd,2170,186260,B + E,7/31/19
AYCA-4ND19Q,2ROC-22,Chapel Street Rockdale - 1,Active,Supply Order Raised,128,FTTP – Type 2,NSW,Rockdale,15-21A Bay St,2216,173014,B + E,7/20/19
AYCA-3O1ZGP,2GBE-62,Cowper Apartments - 1,Active,Supply Order Raised,148,FTTP – Type 2,NSW,Glebe,4-6 Elger St,2037,165968,B + E,7/19/19
AYCA-55RMFH,2WET-23,Novella Function Centre - 1,Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Abbotsbury,1521 The Horsley Dr,2176,181730,B + E,6/30/19
AYCA-26KP9Q,2ROU-02,Site-36 cnr site Rouse Hill Town Centre,Active,Supply Order Raised,58,FTTP – Type 2,NSW,Rouse Hill,Caddies Boulevard & White Hart Drive,2155,154363,B + E,6/14/19
AYCA-4IIZWC,2STL-60,Edge 28 - 1,Active,Supply Order Raised,53,FTTP – Type 2,NSW,St Leonards,28 Albany St,2065,176827,B + E,6/7/19
AYCA-1XN8L5,2KEL-07,2B Hector Court Kellyville - 1,Active,Supply Order Raised,59,FTTP – Type 2,NSW,Kellyville,9 Affleck Circuit,2155,175901,B + E,6/3/19
AYCA-56Z0PS,2HMK-02,"37 - 49 O'Connor street, Chippendale NSW",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Chippendale,37-49 O'Connor St,2008,180746,B + E,6/3/19
AYCA-30GQWB,2ROU-02,Kellyville Apartments Withers Rd - 1,Active,Supply Order Raised,80,FTTP – Type 2,NSW,Kellyville,16-20 Withers Rd,2155,162079,B + E,6/1/19
AYCA-4PEEEK,2RYD-63,Ryedale - 1,Active,Supply Order Raised,45,FTTP – Type 2,NSW,West Ryde,17-21 Ryedale Rd,2114,174486,B + E,5/31/19
AYCA-4WQIL0,2PTH-05,City Vista Apartments - 1,Active,Supply Order Raised,28,FTTP – Type 2,NSW,Penrith,13-15 Vista St,2750,181149,B + E,5/31/19
AYCA-4VSW7K,2PTH-05,Vista Apartments - 1,Active,Supply Order Raised,82,FTTP – Type 2,NSW,Penrith,10-12 Vista St,2750,181268,B + E,5/25/19
AYCA-3CIGB0,2WRO-63,1/3 Balmoral Street Residential Developm,Active,Supply Order Raised,44,FTTP – Type 2,NSW,Waitara,1-3 Balmoral St,2077,159280,B + E,5/24/19
AYCA-5M5US3,2BTH-02,Wark Parade - 2 SP2,Active,Supply Order Raised,3,,NSW,Windradyne,1 Wark Parade,2795,189701,E,5/24/19
AYCA-4X1Z9M,2MIR-26,Mooki St - 1,Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Miranda,58/60 Karimbla Rd,2228,173160,B + E,5/15/19
AYCA-24QAXK,2ROC-03,10 Martin Ave Arncliffe - 1 & 2,Active,Supply Order Raised,159,FTTP – Type 2,NSW,Arncliffe,10 Martin Avenue,2205,131592,B + E,5/10/19
